hotel,classification,price per night,accompanying
Argana,****,70$,2 swimming pools & Beachfront & Spa Fitness center & Airport shuttle & Non-smoking rooms to Room service & Restaurant & Private Parking & Freeparking & Family rooms & Free WiFi
Borjs,****,69$,1 swimming pools & Beachfront & Spa Fitness center Airport shuttle & Non-smoking rooms to Room service & Restaurant &Private Parking &Free parking & Family rooms & Free WiFi
Zephyr,***,50$,swimming pools & Beachfront & Free parking & Family rooms & Free WiFi
DYAFA,****,88$,2 swimming pools & Beachfront & Spa Fitness center Airport shuttle & Non-smoking rooms to Room service & Restaurant & Private Parking & Free parking & Family rooms & Free WiFi
ZITOUN,**,20$,WIFI free
ryad,**,18$,room
