hotel,classification,price per night,accompanying
jadali,*****,236$,1 swimming pool & smoking rooms & facilities for disabled gust & privat parking & restaurant & free wifi & center fitness & room service
zari,****,125$,1 swimming pool & smoking rooms & facilities for disabled gust & privat parking & restaurant & free wifi
relax,***,48$,1 swimming pool & smoking rooms & facilities for disabled gust & privat parking & restaurant & free wifi
safia,***,47$,1 swimming pool & smoking rooms & facilities for disabled gust & privat parking & restaurant & free wifi
